Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-05-25,89.92,90.48,89.25,90.3,0,95.02859071806932,92.15150000000001,89.2744092819307,36.98562672181226,90.48,89.25,80.38,90.9,91.74,94.61
2010-05-26,90.29,90.66,89.79,89.98,0,94.65421138323033,91.9085,89.16278861676967,35.230168903829096,90.66,89.79,80.38,90.9,91.74,94.61
2010-05-27,89.98,91.35,89.97,91.09,0,94.17130748014253,91.72749999999999,89.28369251985745,44.98455096037852,91.35,89.97,80.38,90.9,91.74,94.61
2010-05-28,91.1,91.4,90.59,91.05,0,93.82458385248145,91.584,89.34341614751855,44.723165618255386,91.4,90.59,80.38,90.9,91.74,94.61
2010-05-30,91.0,91.52,90.91,91.37,0,93.69179121644697,91.51500000000001,89.33820878355306,47.358413540227346,91.52,90.91,80.38,90.9,91.74,94.61
2010-05-31,91.38,91.6,90.87,91.0,0,93.67278883807387,91.485,89.29721116192613,44.704619884840625,91.6,90.87,80.38,90.9,91.74,94.61
2010-06-01,91.01,91.77,90.53,91.44,0,93.55413986376087,91.42699999999999,89.29986013623912,48.407122645717614,91.77,90.53,80.38,90.9,91.74,94.61
2010-06-02,91.43,92.34,91.21,92.17,0,93.4308934488733,91.3885,89.34610655112668,53.919949546301,92.34,91.21,80.38,90.9,91.74,94.61
2010-06-03,92.18,92.85,92.14,92.68,0,93.42734190563893,91.3875,89.34765809436108,57.34879500607944,92.85,92.14,80.38,90.9,91.74,94.61
2010-06-04,92.69,92.87,91.41,91.9,0,93.20136797886965,91.32199999999999,89.44263202113032,51.08756986651628,92.87,91.41,80.38,90.9,91.74,94.61
2010-06-06,91.74,91.94,90.97,91.16,0,93.0043612317662,91.2425,89.48063876823382,45.96079383912093,91.94,90.97,80.38,90.9,91.74,94.61
2010-06-07,91.17,92.07,91.11,91.65,0,92.8875385752263,91.20250000000001,89.51746142477373,49.56965429297412,92.07,91.11,80.38,90.9,91.74,94.61
