Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-09-25,107.81,107.91,107.36,107.5,0,108.11259333502528,106.7465,105.38040666497471,54.26158190142102,107.91,107.36,104.58
2000-09-26,107.49,107.71,107.2,107.6,0,108.184222399311,106.8335,105.482777600689,55.21478666807305,107.71,107.2,104.58
2000-09-27,107.61,107.92,107.24,107.54,0,108.2551767189878,106.897,105.53882328101221,54.481139606494565,107.92,107.24,104.58
2000-09-28,107.53,108.01,107.44,108.0,0,108.35920004053968,107.00249999999998,105.64579995946029,58.98108475220603,108.01,107.44,104.58
2000-09-29,108.01,108.47,107.53,108.4,0,108.55264186154868,107.1075,105.66235813845132,62.45672514010003,108.47,107.53,104.58
2000-10-01,108.18,108.36,108.09,108.25,0,108.54339158152641,107.251,105.9586084184736,60.390235012640176,108.36,108.09,104.58
2000-10-02,108.22,109.0,108.13,108.68,0,108.70463795962559,107.37899999999999,106.0533620403744,64.06119490427383,109.0,108.13,104.58
2000-10-03,108.69,109.02,108.5,108.8,0,108.863412303725,107.5065,106.149587696275,65.03507927374726,109.02,108.5,104.58
2000-10-04,108.79,109.45,108.71,109.21,0,109.06595837709186,107.6575,106.24904162290814,68.20527535212177,109.45,108.71,104.58
2000-10-05,109.2,109.66,108.7,108.81,0,109.20081855512193,107.7535,106.30618144487808,62.27308877415389,109.66,108.7,104.58
2000-10-06,108.8,109.01,108.72,108.84,0,109.33269502571504,107.83599999999998,106.33930497428493,62.53626933294405,109.01,108.72,104.58
2000-10-08,109.05,109.16,108.9,108.96,0,109.47375909560769,107.9105,106.34724090439231,63.62921825243779,109.16,108.9,104.58
2000-10-09,108.97,109.15,108.44,108.65,0,109.54008842192337,107.98499999999999,106.4299115780766,58.852609219184494,109.15,108.44,104.58
2000-10-10,108.64,108.64,107.7,107.99,0,109.53554827680341,108.026,106.51645172319658,50.210418022868,108.64,107.7,104.58
2000-10-11,108.01,108.18,107.54,107.81,0,109.49940174487627,108.06950000000002,106.63959825512377,48.13441904341167,108.18,107.54,104.58
2000-10-12,107.83,108.16,107.37,107.71,0,109.46135629305395,108.1045,106.74764370694605,46.97246532164097,108.16,107.37,104.58
