Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1
2016-09-28,100.565,101.412,100.449,101.36,0,103.06557651385683,101.68025,100.29492348614318,47.527426342005306,101.412,100.449,116.95,111.749,111.248,121.248
2016-09-29,101.358,101.839,100.836,101.384,0,103.06491639990118,101.6774,100.28988360009883,47.7351937398337,101.839,100.836,116.95,111.749,111.248,121.248
2016-09-30,101.385,101.473,100.745,101.315,0,103.05670185821384,101.6602,100.26369814178616,47.15707844660022,101.473,100.745,116.95,111.749,111.248,121.248
2016-10-02,101.213,101.656,101.181,101.426,0,102.9979802439005,101.62120000000002,100.24441975609953,48.24301220182657,101.656,101.181,116.95,111.749,111.248,121.248
2016-10-03,101.426,102.387,101.245,102.111,0,102.90680427613144,101.5937,100.28059572386856,54.46229024465592,102.387,101.245,116.95,111.749,111.248,121.248
2016-10-04,102.113,102.966,102.034,102.793,0,102.96475652124094,101.60765,100.25054347875907,59.659717313199906,102.966,102.034,116.95,111.749,111.248,121.248
2016-10-05,102.793,103.666,102.728,103.454,0,103.27278280101974,101.6945,100.11621719898027,63.95387132117361,103.666,102.728,116.95,111.749,111.248,121.248
2016-10-06,103.453,104.157,103.364,103.803,0,103.4939264474638,101.73935,99.9847735525362,66.01110834949567,104.157,103.364,116.95,111.749,111.248,121.248
2016-10-07,103.803,103.986,102.857,102.875,0,103.58382817547756,101.7716,99.95937182452245,56.73833721975001,103.986,102.857,116.95,111.749,111.248,121.248
2016-10-09,103.25,103.306,102.807,102.859,0,103.68703745020628,101.8152,99.94336254979373,56.5907344401613,103.306,102.807,116.95,111.749,111.248,121.248
2016-10-10,102.86,103.993,102.849,103.847,0,103.96258208141938,101.89630000000001,99.83001791858064,62.99287147214673,103.993,102.849,116.95,111.749,111.248,121.248
2016-10-11,103.856,104.07,103.171,103.434,0,104.13812367290468,101.96585,99.79357632709532,59.070989125889724,104.07,103.171,116.95,111.749,111.248,121.248
2016-10-12,103.435,104.634,103.404,103.826,0,104.37912239771232,102.06085,99.74257760228768,61.51983143393493,104.634,103.404,116.95,111.749,111.248,121.248
2016-10-13,103.828,104.096,103.332,103.984,0,104.62716210162148,102.16385,99.70053789837851,62.49389486832263,104.096,103.332,116.95,111.749,111.248,121.248
2016-10-14,103.985,104.475,103.792,104.136,0,104.81613432246431,102.35114999999999,99.88616567753567,63.452369633043496,104.475,103.792,116.95,111.749,111.248,121.248
2016-10-16,104.313,104.37,103.934,104.209,0,105.03156150663789,102.50345,99.97533849336212,63.92912907235801,104.37,103.934,116.95,111.749,111.248,121.248
2016-10-17,104.209,104.305,103.68,103.816,0,105.13748054868653,102.6428,100.14811945131346,59.434122749713026,104.305,103.68,116.95,111.749,111.248,121.248
2016-10-18,103.817,104.198,103.648,103.77,0,105.1901270151203,102.78719999999998,100.38427298487967,58.91198494423047,104.198,103.648,116.95,111.749,111.248,121.248
2016-10-19,103.767,103.849,103.166,103.612,0,105.16997669658917,102.9289,100.68782330341082,57.05781987569473,103.849,103.166,116.95,111.749,111.248,121.248
2016-10-20,103.61,104.2,103.549,104.094,0,105.11804923918578,103.1054,101.09275076081423,61.08193681441183,104.2,103.549,116.95,111.749,111.248,121.248
2016-10-21,104.095,104.131,103.52,103.784,0,105.0906854486839,103.22659999999999,101.36251455131608,57.3589859283678,104.131,103.52,116.95,111.749,111.248,121.248
2016-10-23,103.823,103.992,103.809,103.902,0,105.03285990192433,103.35249999999999,101.67214009807566,58.398402209604036,103.992,103.809,116.95,111.749,111.248,121.248
2016-10-24,103.903,104.49,103.719,104.461,0,104.97271128917484,103.5098,102.04688871082516,62.99971299458062,104.49,103.719,116.95,111.749,111.248,121.248
2016-10-25,104.462,104.874,104.022,104.358,0,104.80947734345759,103.65639999999999,102.5033226565424,61.64673193975863,104.874,104.022,116.95,111.749,111.248,121.248
2016-10-26,104.36,104.692,104.025,104.44,0,104.73227613576827,103.77284999999999,102.81342386423171,62.34014669606937,104.692,104.025,116.95,111.749,111.248,121.248
2016-10-27,104.439,105.347,104.43,105.164,0,104.92063299597093,103.8914,102.86216700402908,67.8645403428718,105.347,104.43,116.95,111.749,111.248,121.248
2016-10-28,105.164,105.532,104.462,104.697,0,105.01910365420765,103.95354999999999,102.88799634579233,61.588724373141204,105.532,104.462,116.95,111.749,111.248,121.248
2016-10-30,104.403,104.936,104.403,104.771,0,105.12228307100851,104.00195000000001,102.8816169289915,62.185464957729124,104.936,104.403,116.95,111.749,111.248,121.248
2016-10-31,104.772,105.229,104.668,104.869,0,105.15603973344554,104.10164999999999,103.04726026655445,63.00515026814089,105.229,104.668,116.95,111.749,111.248,121.248
2016-11-01,104.868,105.115,103.668,103.782,0,105.0504726095298,104.14779999999999,103.24512739047017,50.04672562386323,105.115,103.668,116.95,111.749,111.248,121.248
2016-11-02,103.779,103.931,102.549,102.604,0,105.20722697461892,104.08564999999999,102.96407302538105,40.35908720389403,103.931,102.549,116.95,111.749,111.248,121.248
2016-11-03,102.606,103.316,102.559,103.055,0,105.24314245077919,104.0667,102.8902575492208,44.76722395605278,103.316,102.559,116.95,111.749,111.248,121.248
2016-11-04,103.057,103.353,102.853,103.088,0,105.27822053811819,104.0298,102.7813794618818,45.08704546636554,103.353,102.853,116.95,111.749,111.248,121.248
2016-11-06,104.062,104.48,103.775,104.433,0,105.31265959612156,104.05225,102.79184040387844,56.21528270930571,104.48,103.775,116.95,111.749,111.248,121.248
2016-11-07,104.434,104.63,104.25,104.429,0,105.33763174194846,104.0669,102.79616825805155,56.17882019861232,104.63,104.25,116.95,111.749,111.248,121.248
2016-11-08,104.428,105.468,101.207,101.279,0,105.67520738544015,103.9204,102.16559261455986,36.24248331078483,105.468,101.207,116.95,111.749,111.248,121.248
2016-11-09,101.279,105.952,101.186,105.558,0,105.90042635884109,104.00750000000001,102.11457364115893,58.030673759319725,105.952,101.186,116.95,111.749,111.248,121.248
