Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-06-15,107.17,107.639,107.0,107.447,0,109.4855624376755,107.95,106.41443756232451,46.628778145748605,107.639,107.0,102.816,110.186,111.975
2020-06-16,107.446,107.624,107.167,107.268,0,109.488875755447,107.92729999999999,106.36572424455298,44.83843915458138,107.624,107.167,102.816,110.186,111.975
2020-06-17,107.268,107.441,106.702,106.862,0,109.50847090097693,107.87935,106.25022909902307,40.993787745882784,107.441,106.702,102.816,110.186,111.975
2020-06-18,106.862,107.128,106.668,106.909,0,109.52589358193487,107.8486,106.17130641806514,41.61787155325061,107.128,106.668,102.816,110.186,111.975
2020-06-19,106.909,107.046,106.766,106.856,0,109.53437161852233,107.80204999999998,106.06972838147763,41.09010108904652,107.046,106.766,102.816,110.186,111.975
2020-06-21,106.769,106.944,106.742,106.884,0,109.5467542757624,107.7766,106.00644572423761,41.51208722699827,106.944,106.742,102.816,110.186,111.975
2020-06-22,106.886,107.218,106.739,107.172,0,109.53654151252384,107.74685,105.95715848747615,45.8117479650562,107.218,106.739,102.816,110.186,111.975
2020-06-23,107.172,107.221,106.072,106.525,0,109.55872346417173,107.69145,105.82417653582827,38.89423778046996,107.221,106.072,102.816,110.186,111.975
2020-06-24,106.526,107.259,106.461,107.246,0,109.5448667988807,107.66765000000001,105.79043320111931,48.26862034465174,107.259,106.461,102.816,110.186,111.975
2020-06-25,107.245,107.451,107.047,107.16,0,109.437531340554,107.59665,105.75576865944599,47.33579981263438,107.451,107.047,102.816,110.186,111.975
2020-06-26,107.161,107.359,106.799,107.206,0,109.25591217466804,107.5113,105.76668782533197,47.915608699825285,107.359,106.799,102.816,110.186,111.975
2020-06-28,107.069,107.372,107.064,107.144,0,108.97352023302157,107.40799999999999,105.8424797669784,47.16194154014181,107.372,107.064,102.816,110.186,111.975
2020-06-29,107.145,107.884,107.04,107.726,0,108.53684009082423,107.31524999999999,106.09365990917576,54.41095714837124,107.884,107.04,102.816,110.186,111.975
2020-06-30,107.727,108.164,107.521,107.682,0,107.94387281968845,107.22364999999999,106.50342718031153,53.80990961173582,108.164,107.521,102.816,110.186,111.975
2020-07-01,107.685,107.708,107.33,107.466,0,107.80186877839948,107.19185,106.58183122160052,50.84083643899839,107.708,107.33,102.816,110.186,111.975
2020-07-02,107.466,107.723,107.345,107.492,0,107.76581736311333,107.18209999999999,106.59838263688665,51.189954351713915,107.723,107.345,102.816,110.186,111.975
2020-07-03,107.492,107.537,107.447,107.494,0,107.79887650943002,107.20779999999999,106.61672349056997,51.21865308751565,107.537,107.447,102.816,110.186,111.975
2020-07-05,107.448,107.772,107.421,107.686,0,107.8610923093443,107.23875000000001,106.61640769065572,54.01399630305921,107.772,107.421,102.816,110.186,111.975
2020-07-06,107.688,107.718,107.245,107.395,0,107.86265207029025,107.23955000000001,106.61644792970976,49.39409373687968,107.718,107.245,102.816,110.186,111.975
2020-07-07,107.395,107.79,107.352,107.617,0,107.90513913406025,107.26185000000001,106.61856086593977,52.71670053402504,107.79,107.352,102.816,110.186,111.975
