Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-05-28,79.385,79.631,79.327,79.468,0,80.35982378106445,79.68685,79.01387621893556,42.876504316597085,79.631,79.327,76.651,76.152
2012-05-29,79.467,79.595,79.365,79.417,0,80.34958601637037,79.66835,78.98711398362964,42.191306051622995,79.595,79.365,76.651,76.152
2012-05-30,79.416,79.478,78.705,78.74,0,80.3823019124164,79.60645,78.8305980875836,34.34502446278266,79.478,78.705,76.651,76.152
2012-05-31,78.741,78.891,78.204,78.439,0,80.4615381098779,79.53935,78.61716189012209,31.5368639060718,78.891,78.204,76.651,76.152
2012-06-01,78.437,78.712,77.654,78.004,0,80.59790530175351,79.4596,78.32129469824648,27.97675786692841,78.712,77.654,76.651,76.152
2012-06-03,78.076,78.437,78.031,78.166,0,80.62478347277369,79.37375,78.12271652722632,31.096345069429788,78.437,78.031,76.651,76.152
2012-06-04,78.164,78.402,77.978,78.32,0,80.59640071740954,79.29310000000001,77.98979928259048,34.02194128480667,78.402,77.978,76.651,76.152
2012-06-05,78.321,78.959,78.097,78.862,0,80.50703222024143,79.2353,77.96356777975856,43.16789714494223,78.959,78.097,76.651,76.152
2012-06-06,78.863,79.385,78.783,79.334,0,80.4533055671638,79.21029999999999,77.96729443283618,49.706285009265514,79.385,78.783,76.651,76.152
2012-06-07,79.333,79.784,79.231,79.405,0,80.28344014512963,79.16065,78.03785985487038,50.626463803480824,79.784,79.231,76.651,76.152
2012-06-08,79.404,79.62,79.103,79.467,0,80.14040625795674,79.1217,78.10299374204327,51.46160884243794,79.62,79.103,76.651,76.152
2012-06-10,79.612,79.715,79.385,79.597,0,80.16371656444039,79.13115,78.09858343555962,53.247317296788545,79.715,79.385,76.651,76.152
2012-06-11,79.598,79.669,79.158,79.514,0,80.20046139775387,79.1565,78.11253860224612,51.933626223230796,79.669,79.158,76.651,76.152
2012-06-12,79.513,79.683,79.356,79.621,0,80.24170716886024,79.17825,78.11479283113977,53.525471587825756,79.683,79.356,76.651,76.152
2012-06-13,79.62,79.736,79.29,79.408,0,80.24661510359537,79.18105,78.11548489640462,49.97723742494112,79.736,79.29,76.651,76.152
2012-06-14,79.407,79.501,78.97,79.043,0,80.20999447289576,79.15610000000001,78.10220552710426,44.529708250586864,79.501,78.97,76.651,76.152
2012-06-15,79.042,79.049,78.602,78.699,0,80.17561194424614,79.1161,78.05658805575386,40.09405524478921,79.049,78.602,76.651,76.152
