position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1474,stable_v2_5,BUY,2025-02-25 01:15:00,149.781,2025-02-25 02:00:00,149.584,1.95,-19.700000000000273,-38415.00000000053,sl
1475,aggressive_v2_5,SELL,2025-02-25 08:45:00,149.42999999999998,2025-02-25 09:45:00,149.182,0.39,24.799999999999045,9671.999999999627,tp
1476,aggressive_v2_5,SELL,2025-02-25 17:00:00,148.929,2025-02-25 17:15:00,149.036,0.39,-10.699999999999932,-4172.999999999974,sl
1477,aggressive_v2_5,SELL,2025-02-25 19:15:00,148.784,2025-02-25 19:45:00,148.902,0.39,-11.7999999999995,-4601.999999999805,sl
1478,stable_v2_5,SELL,2025-02-26 18:30:00,148.864,2025-02-26 19:45:00,149.138,1.95,-27.40000000000009,-53430.000000000175,sl
1479,stable_v2_5,SELL,2025-02-27 02:00:00,149.26999999999998,2025-02-27 03:15:00,149.532,1.95,-26.200000000002888,-51090.00000000563,sl
1480,aggressive_v2_5,BUY,2025-02-27 11:00:00,150.06300000000002,2025-02-27 11:15:00,149.974,0.39,-8.900000000002706,-3471.000000001055,sl
1481,aggressive_v2_5,SELL,2025-02-27 20:00:00,149.409,2025-02-27 21:00:00,149.127,0.39,28.199999999998226,10997.999999999309,tp
1482,stable_v2_5,BUY,2025-02-28 08:00:00,150.668,2025-02-28 11:00:00,150.453,1.95,-21.50000000000034,-41925.00000000066,sl
1483,aggressive_v2_5,BUY,2025-03-02 17:00:00,150.70100000000002,2025-03-02 18:00:00,150.957,0.39,25.59999999999718,9983.999999998901,tp
1484,aggressive_v2_5,SELL,2025-03-03 13:15:00,150.12,2025-03-03 14:30:00,150.269,0.39,-14.900000000000091,-5811.0000000000355,sl
1485,aggressive_v2_5,SELL,2025-03-03 20:45:00,148.92999999999998,2025-03-03 21:00:00,149.131,0.39,-20.100000000002183,-7839.000000000851,sl
1486,aggressive_v2_5,SELL,2025-03-04 10:15:00,148.321,2025-03-04 10:30:00,148.531,0.39,-21.000000000000796,-8190.00000000031,sl
1487,aggressive_v2_5,BUY,2025-03-04 16:15:00,149.69500000000002,2025-03-04 18:00:00,149.961,0.39,26.599999999999113,10373.999999999654,tp
